Floo597,Floo Powder,Floo,Object,http://harrypotter.wikia.com/Floo Powder
Flying3165,Flying Ford Anglia,Flying,Object,http://harrypotter.wikia.com/Flying Ford Anglia
Marvolo502,Marvolo Gaunt,Marvolo,Individual,http://harrypotter.wikia.com/Marvolo Gaunt
Fawkes381,Fawkes,Fawkes,Pet individual,http://harrypotter.wikia.com/Fawkes
Argus45,Argus Filch,Argus,Individual,http://harrypotter.wikia.com/Argus Filch
Godric242,Godric Gryffindor,Godric,Individual,http://harrypotter.wikia.com/Godric Gryffindor
Golden389,Golden Snitch,Golden,Object,http://harrypotter.wikia.com/Golden Snitch
Severus33,Severus Snape,Severus,Individual,http://harrypotter.wikia.com/Severus Snape
Dudley438,Dudley Dursley,Dudley,Individual,http://harrypotter.wikia.com/Dudley Dursley
Cat54361,Cat hair,Cat,Object,http://harrypotter.wikia.com/Cat hair
Vernon384,Vernon Dursley,Vernon,Individual,http://harrypotter.wikia.com/Vernon Dursley
Minerva32,Minerva McGonagall,Minerva,Individual,http://harrypotter.wikia.com/Minerva McGonagall
Colin449,Colin Creevey,Colin,Individual,http://harrypotter.wikia.com/Colin Creevey
Quill4513,Quill,Quill,Object,http://harrypotter.wikia.com/Quill
Gilderoy53,Gilderoy Lockhart,Gilderoy,Individual,http://harrypotter.wikia.com/Gilderoy Lockhart
Peeves39,Peeves,Peeves,Individual,http://harrypotter.wikia.com/Peeves
Tom823,Tom Riddle,Tom,Individual,http://harrypotter.wikia.com/Tom Riddle
Mason9729,Mrs Mason,Mrs,Individual,http://harrypotter.wikia.com/Mrs Mason
Tom343,Tom Marvolo Riddle,Tom,Individual,http://harrypotter.wikia.com/Tom Marvolo Riddle
Mason9727,Mr Mason,Mr,Individual,http://harrypotter.wikia.com/Mr Mason
Sorting606,Sorting Hat,Sorting,Object,http://harrypotter.wikia.com/Sorting Hat
Hermione15,Hermione Jean Granger,Hermione,Individual,http://harrypotter.wikia.com/Hermione Jean Granger
Norris339,Mrs Norris,Mrs,Pet individual,http://harrypotter.wikia.com/Mrs Norris
Cuthbert664,Cuthbert Binns,Cuthbert,Individual,http://harrypotter.wikia.com/Cuthbert Binns
Myrtle60,Myrtle Elizabeth Warren,Myrtle,Individual,http://harrypotter.wikia.com/Myrtle Elizabeth Warren
Dursley397,Dursley family,Dursley,Family,http://harrypotter.wikia.com/Dursley family
Draco16,Draco Lucius Malfoy,Draco,Individual,http://harrypotter.wikia.com/Draco Lucius Malfoy
Molly27,Molly Weasley,Molly,Individual,http://harrypotter.wikia.com/Molly Weasley
Arthur26,Arthur Weasley,Arthur,Individual,http://harrypotter.wikia.com/Arthur Weasley
Hogwarts643,Hogwarts Express,Hogwarts,Object,http://harrypotter.wikia.com/Hogwarts Express
Wand1061,Wand,Wand,Object,http://harrypotter.wikia.com/Wand
Salazar341,Salazar Slytherin,Salazar,Individual,http://harrypotter.wikia.com/Salazar Slytherin
Millicent679,Millicent Bulstrode,Millicent,Individual,http://harrypotter.wikia.com/Millicent Bulstrode
Armando2428,Armando Dippet,Armando,Individual,http://harrypotter.wikia.com/Armando Dippet
Poppy43,Poppy Pomfrey,Poppy,Individual,http://harrypotter.wikia.com/Poppy Pomfrey
Gregory548,Gregory Goyle,Gregory,Individual,http://harrypotter.wikia.com/Gregory Goyle
Oliver458,Oliver Wood,Oliver,Individual,http://harrypotter.wikia.com/Oliver Wood
Penelope919,Penelope Clearwater,Penelope,Individual,http://harrypotter.wikia.com/Penelope Clearwater
Fred215,Fred Weasley,Fred,Individual,http://harrypotter.wikia.com/Fred Weasley
Vincent547,Vincent Crabbe,Vincent,Individual,http://harrypotter.wikia.com/Vincent Crabbe
Malfoy4853,Malfoy family,Malfoy,Family,http://harrypotter.wikia.com/Malfoy family
Cornelius576,Cornelius Oswald Fudge,Cornelius,Individual,http://harrypotter.wikia.com/Cornelius Oswald Fudge
Bludger432,Bludger,Bludger,Object,http://harrypotter.wikia.com/Bludger
Aragog611,Aragog,Aragog,Pet individual,http://harrypotter.wikia.com/Aragog
Ronald14,Ronald Bilius Weasley,Ronald,Individual,http://harrypotter.wikia.com/Ronald Bilius Weasley
Borgin4887,Borgin,Borgin,Individual,http://harrypotter.wikia.com/Borgin
Rubeus47,Rubeus Hagrid,Rubeus,Individual,http://harrypotter.wikia.com/Rubeus Hagrid
Ginevra25,Ginevra Molly Potter,Ginevra,Individual,http://harrypotter.wikia.com/Ginevra Molly Potter
Lucius313,Lucius Malfoy,Lucius,Individual,http://harrypotter.wikia.com/Lucius Malfoy
Harry13,Harry James Potter,Harry,Individual,http://harrypotter.wikia.com/Harry James Potter
Hedwig446,Hedwig,Hedwig,Pet individual,http://harrypotter.wikia.com/Hedwig
Albus4178,Albus Percival Wulfric Brian Dumbledore,Albus,Individual,http://harrypotter.wikia.com/Albus Percival Wulfric Brian Dumbledore
Dobby309,Dobby,Dobby,Individual,http://harrypotter.wikia.com/Dobby
Petunia437,Petunia Dursley,Petunia,Individual,http://harrypotter.wikia.com/Petunia Dursley
Merope283,Merope Riddle,Merope,Individual,http://harrypotter.wikia.com/Merope Riddle
Ernest328,Ernest Macmillan,Ernest,Individual,http://harrypotter.wikia.com/Ernest Macmillan
George216,George Weasley,George,Individual,http://harrypotter.wikia.com/George Weasley
