Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Harry has returned to the Dursley for the summer holiday in mid- , and things are very bad for Harry .","['Harry', 'Dursley', 'holiday', 'mid', 'things', 'Harry']","['Harry:returned', 'Dursley:returned', 'holiday:Dursley', 'mid:Dursley', 'things:bad', 'Harry:bad']",[],[],-0.2716,"[(('returned', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('returned', 'VBN'), 'aux', ('has', 'VBZ')), (('returned', 'VBN'), 'nmod', ('Dursley', 'NN')), (('Dursley', 'NN'), 'case', ('to', 'TO')), (('Dursley', 'NN'), 'det', ('the', 'DT')), (('Dursley', 'NN'), 'nmod', ('holiday', 'NN')), (('holiday', 'NN'), 'case', ('for', 'IN')), (('holiday', 'NN'), 'det', ('the', 'DT')), (('holiday', 'NN'), 'compound', ('summer', 'NN')), (('Dursley', 'NN'), 'nmod', ('mid', 'NNP')), (('mid', 'NNP'), 'case', ('in', 'IN')), (('returned', 'VBN'), 'cc', ('and', 'CC')), (('returned', 'VBN'), 'conj', ('bad', 'JJ')), (('bad', 'JJ'), 'nsubj', ('things', 'NNS')), (('bad', 'JJ'), 'cop', ('are', 'VBP')), (('bad', 'JJ'), 'advmod', ('very', 'RB')), (('bad', 'JJ'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN'))]"
"Over the summer , Dursley have become so fearful of Harry 's new-found magical abilities that they have locked away all of Harry 's magical supplies -LRB- e.g. Harry 's wand , Harry 's broomstick , spellbooks , etc. -RRB- immediately after Harry 's arrival home .","['summer', 'Dursley', 'abilities', 'they', 'supplies', 'home']","['summer:become', 'Dursley:become', 'abilities:fearful', 'they:locked', 'supplies:all', 'home:locked']",[],[],-0.4795,"[(('become', 'VBN'), 'nmod', ('summer', 'NN')), (('summer', 'NN'), 'case', ('Over', 'IN')), (('summer', 'NN'), 'det', ('the', 'DT')), (('become', 'VBN'), 'nsubj', ('Dursley', 'NNP')), (('become', 'VBN'), 'aux', ('have', 'VBP')), (('become', 'VBN'), 'xcomp', ('fearful', 'JJ')), (('fearful', 'JJ'), 'advmod', ('so', 'RB')), (('fearful', 'JJ'), 'nmod', ('abilities', 'NNS')), (('abilities', 'NNS'), 'case', ('of', 'IN')), (('abilities', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('abilities', 'NNS'), 'amod', ('new-found', 'JJ')), (('abilities', 'NNS'), 'amod', ('magical', 'JJ')), (('become', 'VBN'), 'ccomp', ('locked', 'VBN')), (('locked', 'VBN'), 'mark', ('that', 'IN')), (('locked', 'VBN'), 'nsubj', ('they', 'PRP')), (('locked', 'VBN'), 'aux', ('have', 'VBP')), (('locked', 'VBN'), 'compound:prt', ('away', 'RP')), (('locked', 'VBN'), 'dobj', ('all', 'DT')), (('all', 'DT'), 'nmod', ('supplies', 'NNS')), (('supplies', 'NNS'), 'case', ('of', 'IN')), (('supplies', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('supplies', 'NNS'), 'amod', ('magical', 'JJ')), (('supplies', 'NNS'), 'dep', ('wand', 'NN')), (('wand', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'compound', ('e.g.', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('wand', 'NN'), 'appos', ('broomstick', 'NN')), (('broomstick', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('wand', 'NN'), 'appos', ('spellbooks', 'NNS')), (('wand', 'NN'), 'dep', ('etc.', 'FW')), (('locked', 'VBN'), 'nmod', ('home', 'NN')), (('home', 'NN'), 'advmod', ('immediately', 'RB')), (('home', 'NN'), 'case', ('after', 'IN')), (('home', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('home', 'NN'), 'compound', ('arrival', 'NN'))]"
"They have also banned Harry from saying words such as `` magic '' in the house , as evident in Vernon 's outburst at breakfast .","['They', 'magic', 'house', 'outburst', 'breakfast']","['They:banned', 'magic:words', 'house:magic', 'outburst:saying', 'breakfast:outburst']","['Harry', 'words']","['Harry:banned', 'words:saying']",-0.4588,"[(('banned', 'VBN'), 'nsubj', ('They', 'PRP')), (('banned', 'VBN'), 'aux', ('have', 'VBP')), (('banned', 'VBN'), 'advmod', ('also', 'RB')), (('banned', 'VBN'), 'dobj', ('Harry', 'NNP')), (('banned', 'VBN'), 'advcl', ('saying', 'VBG')), (('saying', 'VBG'), 'mark', ('from', 'IN')), (('saying', 'VBG'), 'dobj', ('words', 'NNS')), (('words', 'NNS'), 'nmod', ('magic', 'NN')), (('magic', 'NN'), 'case', ('such', 'JJ')), (('such', 'JJ'), 'mwe', ('as', 'IN')), (('magic', 'NN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('in', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('words', 'NNS'), 'amod', ('evident', 'JJ')), (('evident', 'JJ'), 'advmod', ('as', 'RB')), (('saying', 'VBG'), 'nmod', ('outburst', 'NN')), (('outburst', 'NN'), 'case', ('in', 'IN')), (('outburst', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('outburst', 'NN'), 'nmod', ('breakfast', 'NN')), (('breakfast', 'NN'), 'case', ('at', 'IN'))]"
"This has become a problem for Harry Harry , who begins to worry about what Harry 's teachers at Hogwarts School of Witchcraft and Wizardry will think if Harry heads back to them without back homework done , and whether or not Harry 'll be banned from the Gryfindor House Quidditch team since Harry has not been able to practise .","['Harry', 'teachers', 'School', 'Witchcraft', 'Wizardry', 'Harry', 'them', 'homework', 'team', 'Harry']","['Harry:problem', 'teachers:think', 'School:teachers', 'Witchcraft:School', 'Wizardry:School', 'Harry:heads', 'them:back', 'homework:heads', 'team:banned', 'Harry:able']",['problem'],['problem:banned'],-0.8225,"[(('become', 'VBN'), 'nsubj', ('This', 'DT')), (('become', 'VBN'), 'aux', ('has', 'VBZ')), (('become', 'VBN'), 'ccomp', ('banned', 'VBN')), (('banned', 'VBN'), 'nsubjpass', ('problem', 'NN')), (('problem', 'NN'), 'det', ('a', 'DT')), (('problem', 'NN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN')), (('Harry', 'NNP'), 'compound', ('Harry', 'NNP')), (('Harry', 'NNP'), 'acl:relcl', ('begins', 'VBZ')), (('begins', 'VBZ'), 'nsubj', ('who', 'WP')), (('begins', 'VBZ'), 'xcomp', ('worry', 'VB')), (('worry', 'VB'), 'mark', ('to', 'TO')), (('worry', 'VB'), 'dobj', ('think', 'VB')), (('think', 'VB'), 'nmod', ('what', 'WP')), (('what', 'WP'), 'case', ('about', 'IN')), (('think', 'VB'), 'nsubj', ('teachers', 'NNS')), (('teachers', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('teachers', 'NNS'), 'nmod', ('School', 'NNP')), (('School', 'NNP'), 'case', ('at', 'IN')), (('School', 'NNP'), 'compound', ('Hogwarts', 'NNP')), (('School', 'NNP'), 'nmod', ('Witchcraft', 'NNP')), (('Witchcraft', 'NNP'), 'case', ('of', 'IN')), (('Witchcraft', 'NNP'), 'cc', ('and', 'CC')), (('Witchcraft', 'NNP'), 'conj', ('Wizardry', 'NNP')), (('think', 'VB'), 'aux', ('will', 'MD')), (('think', 'VB'), 'advcl', ('heads', 'VBZ')), (('heads', 'VBZ'), 'mark', ('if', 'IN')), (('heads', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('heads', 'VBZ'), 'advmod', ('back', 'RB')), (('back', 'RB'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('to', 'TO')), (('heads', 'VBZ'), 'nmod', ('homework', 'NN')), (('homework', 'NN'), 'case', ('without', 'IN')), (('homework', 'NN'), 'amod', ('back', 'JJ')), (('homework', 'NN'), 'acl', ('done', 'VBN')), (('think', 'VB'), 'cc', ('and', 'CC')), (('think', 'VB'), 'conj', ('not', 'RB')), (('not', 'RB'), 'mark', ('whether', 'IN')), (('not', 'RB'), 'cc', ('or', 'CC')), (('not', 'RB'), 'dep', ('Harry', 'NNP')), (('banned', 'VBN'), 'aux', (""'ll"", 'MD')), (('banned', 'VBN'), 'auxpass', ('be', 'VB')), (('banned', 'VBN'), 'nmod', ('team', 'NN')), (('team', 'NN'), 'case', ('from', 'IN')), (('team', 'NN'), 'det', ('the', 'DT')), (('team', 'NN'), 'compound', ('Gryfindor', 'NNP')), (('team', 'NN'), 'compound', ('House', 'NNP')), (('team', 'NN'), 'compound', ('Quidditch', 'NNP')), (('banned', 'VBN'), 'advcl', ('able', 'JJ')), (('able', 'JJ'), 'mark', ('since', 'IN')), (('able', 'JJ'), 'nsubj', ('Harry', 'NNP')), (('able', 'JJ'), 'aux', ('has', 'VBZ')), (('able', 'JJ'), 'neg', ('not', 'RB')), (('able', 'JJ'), 'cop', ('been', 'VBN')), (('able', 'JJ'), 'xcomp', ('practise', 'VB')), (('practise', 'VB'), 'mark', ('to', 'TO'))]"
"The only thing Dursley let Harry keep in Harry 's room , however , is Hedwig , but have put a padded lock on Hedwig 's cage to keep Hedwig 's inside day and night to avoid suspicion from the neighbours .","['thing', 'Dursley', 'Harry', 'room', 'cage', 'neighbours']","['thing:Hedwig', 'Dursley:let', 'Harry:keep', 'room:keep', 'cage:put', 'neighbours:avoid']","['lock', 'day', 'night', 'suspicion']","['lock:put', 'day:keep', 'night:keep', 'suspicion:avoid']",-0.7351,"[(('Hedwig', 'VBG'), 'nsubj', ('thing', 'NN')), (('thing', 'NN'), 'det', ('The', 'DT')), (('thing', 'NN'), 'amod', ('only', 'JJ')), (('thing', 'NN'), 'acl:relcl', ('let', 'VBP')), (('let', 'VBP'), 'nsubj', ('Dursley', 'NNP')), (('let', 'VBP'), 'ccomp', ('keep', 'VB')), (('keep', 'VB'), 'nsubj', ('Harry', 'NNP')), (('keep', 'VB'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('Hedwig', 'VBG'), 'advmod', ('however', 'RB')), (('Hedwig', 'VBG'), 'aux', ('is', 'VBZ')), (('Hedwig', 'VBG'), 'cc', ('but', 'CC')), (('Hedwig', 'VBG'), 'conj', ('put', 'VBN')), (('put', 'VBN'), 'aux', ('have', 'VBP')), (('put', 'VBN'), 'dobj', ('lock', 'NN')), (('lock', 'NN'), 'det', ('a', 'DT')), (('lock', 'NN'), 'amod', ('padded', 'JJ')), (('put', 'VBN'), 'nmod', ('cage', 'NN')), (('cage', 'NN'), 'case', ('on', 'IN')), (('cage', 'NN'), 'nmod:poss', ('Hedwig', 'NNP')), (('Hedwig', 'NNP'), 'case', (""'s"", 'POS')), (('cage', 'NN'), 'acl', ('keep', 'VB')), (('keep', 'VB'), 'mark', ('to', 'TO')), (('keep', 'VB'), 'dobj', ('day', 'NN')), (('day', 'NN'), 'nmod:poss', ('Hedwig', 'NNP')), (('Hedwig', 'NNP'), 'case', (""'s"", 'POS')), (('day', 'NN'), 'amod', ('inside', 'JJ')), (('day', 'NN'), 'cc', ('and', 'CC')), (('day', 'NN'), 'conj', ('night', 'NN')), (('night', 'NN'), 'acl', ('avoid', 'VB')), (('avoid', 'VB'), 'mark', ('to', 'TO')), (('avoid', 'VB'), 'dobj', ('suspicion', 'NN')), (('avoid', 'VB'), 'nmod', ('neighbours', 'NNS')), (('neighbours', 'NNS'), 'case', ('from', 'IN')), (('neighbours', 'NNS'), 'det', ('the', 'DT'))]"
"This does not go well for the bird , because every time Hedwig has become bored , Hedwig 's screech has rung throughout the house , causing an irritated Vernon to warn Harry that if Harry can not control Hedwig , Hedwig will have to go .","['bird', 'Hedwig', 'screech', 'house', 'Harry', 'Hedwig']","['bird:go', 'Hedwig:become', 'screech:rung', 'house:rung', 'Harry:control', 'Hedwig:have']","['Vernon', 'Harry', 'Hedwig']","['Vernon:causing', 'Harry:warn', 'Hedwig:control']",-0.7441,"[(('rung', 'VBN'), 'ccomp', ('go', 'VB')), (('go', 'VB'), 'nsubj', ('This', 'DT')), (('go', 'VB'), 'aux', ('does', 'VBZ')), (('go', 'VB'), 'neg', ('not', 'RB')), (('go', 'VB'), 'advmod', ('well', 'RB')), (('go', 'VB'), 'nmod', ('bird', 'NN')), (('bird', 'NN'), 'case', ('for', 'IN')), (('bird', 'NN'), 'det', ('the', 'DT')), (('go', 'VB'), 'advcl', ('become', 'VBN')), (('become', 'VBN'), 'mark', ('because', 'IN')), (('become', 'VBN'), 'nsubj', ('Hedwig', 'NN')), (('Hedwig', 'NN'), 'det', ('every', 'DT')), (('Hedwig', 'NN'), 'compound', ('time', 'NN')), (('become', 'VBN'), 'aux', ('has', 'VBZ')), (('become', 'VBN'), 'xcomp', ('bored', 'JJ')), (('rung', 'VBN'), 'nsubj', ('screech', 'NN')), (('screech', 'NN'), 'nmod:poss', ('Hedwig', 'NNP')), (('Hedwig', 'NNP'), 'case', (""'s"", 'POS')), (('rung', 'VBN'), 'aux', ('has', 'VBZ')), (('rung', 'VBN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('throughout', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('rung', 'VBN'), 'xcomp', ('causing', 'VBG')), (('causing', 'VBG'), 'dobj', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'det', ('an', 'DT')), (('Vernon', 'NNP'), 'compound', ('irritated', 'NNP')), (('causing', 'VBG'), 'xcomp', ('warn', 'VB')), (('warn', 'VB'), 'mark', ('to', 'TO')), (('warn', 'VB'), 'dobj', ('Harry', 'NNP')), (('warn', 'VB'), 'ccomp', ('have', 'VB')), (('have', 'VB'), 'mark', ('that', 'IN')), (('have', 'VB'), 'advcl', ('control', 'VB')), (('control', 'VB'), 'mark', ('if', 'IN')), (('control', 'VB'), 'nsubj', ('Harry', 'NNP')), (('control', 'VB'), 'aux', ('can', 'MD')), (('control', 'VB'), 'neg', ('not', 'RB')), (('control', 'VB'), 'dobj', ('Hedwig', 'NNP')), (('have', 'VB'), 'nsubj', ('Hedwig', 'NNP')), (('have', 'VB'), 'aux', ('will', 'MD')), (('have', 'VB'), 'xcomp', ('go', 'VB')), (('go', 'VB'), 'mark', ('to', 'TO'))]"
"On  July -LRB- Harry 's twelfth birthday -RRB- , Harry has never felt so lonely , for Harry misses Hogwarts and Harry 's best friends there , Ronald and Hermione .","['July', 'Harry', 'Harry']","['July:felt', 'Harry:felt', 'Harry:misses']","['Hogwarts', 'friends', 'Ronald', 'Hermione']","['Hogwarts:misses', 'friends:misses', 'Ronald:misses', 'Hermione:misses']",0.4869,"[(('felt', 'VBN'), 'nmod', ('July', 'NNP')), (('July', 'NNP'), 'case', ('On', 'IN')), (('July', 'NNP'), 'appos', ('birthday', 'NN')), (('birthday', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('birthday', 'NN'), 'compound', ('twelfth', 'NN')), (('felt', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('felt', 'VBN'), 'aux', ('has', 'VBZ')), (('felt', 'VBN'), 'neg', ('never', 'RB')), (('felt', 'VBN'), 'xcomp', ('lonely', 'JJ')), (('lonely', 'JJ'), 'advmod', ('so', 'RB')), (('felt', 'VBN'), 'advcl', ('misses', 'VBZ')), (('misses', 'VBZ'), 'mark', ('for', 'IN')), (('misses', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('misses', 'VBZ'), 'dobj', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'cc', ('and', 'CC')), (('Hogwarts', 'NNP'), 'conj', ('friends', 'NNS')), (('friends', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('friends', 'NNS'), 'amod', ('best', 'JJS')), (('friends', 'NNS'), 'advmod', ('there', 'RB')), (('Hogwarts', 'NNP'), 'conj', ('Ronald', 'NNP')), (('Hogwarts', 'NNP'), 'cc', ('and', 'CC')), (('Hogwarts', 'NNP'), 'conj', ('Hermione', 'NNP'))]"
"Neither of them have written to him all summer , not even to send birthday wishes .","['them', 'him']","['them:Neither', 'him:written']",['wishes'],['wishes:send'],0.1531,"[(('written', 'VBN'), 'nsubj', ('Neither', 'DT')), (('Neither', 'DT'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('of', 'IN')), (('written', 'VBN'), 'aux', ('have', 'VBP')), (('written', 'VBN'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('to', 'TO')), (('him', 'PRP'), 'dep', ('summer', 'NN')), (('summer', 'NN'), 'det', ('all', 'DT')), (('written', 'VBN'), 'advmod', ('even', 'RB')), (('even', 'RB'), 'dep', ('not', 'RB')), (('even', 'RB'), 'dep', ('send', 'VB')), (('send', 'VB'), 'mark', ('to', 'TO')), (('send', 'VB'), 'dobj', ('wishes', 'NNS')), (('wishes', 'NNS'), 'compound', ('birthday', 'NN'))]"
"The Dursley seem to have also forgotten his birthday , because they are too busy preparing for a dinner party meant for one of Vernon 's clients , MrMason , from whom Vernon is hoping to get a huge order .","['Dursley', 'they', 'party', 'clients', 'Vernon']","['Dursley:seem', 'they:busy', 'party:preparing', 'clients:one', 'Vernon:hoping']","['birthday', 'order']","['birthday:forgotten', 'order:get']",0.7096,"[(('seem', 'VBP'), 'nsubj', ('Dursley', 'NNP')), (('Dursley', 'NNP'), 'det', ('The', 'DT')), (('seem', 'VBP'), 'xcomp', ('forgotten', 'VBN')), (('forgotten', 'VBN'), 'mark', ('to', 'TO')), (('forgotten', 'VBN'), 'aux', ('have', 'VB')), (('forgotten', 'VBN'), 'advmod', ('also', 'RB')), (('forgotten', 'VBN'), 'dobj', ('birthday', 'NN')), (('birthday', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('forgotten', 'VBN'), 'advcl', ('busy', 'JJ')), (('busy', 'JJ'), 'mark', ('because', 'IN')), (('busy', 'JJ'), 'nsubj', ('they', 'PRP')), (('busy', 'JJ'), 'cop', ('are', 'VBP')), (('busy', 'JJ'), 'advmod', ('too', 'RB')), (('seem', 'VBP'), 'xcomp', ('preparing', 'VBG')), (('preparing', 'VBG'), 'nmod', ('party', 'NN')), (('party', 'NN'), 'case', ('for', 'IN')), (('party', 'NN'), 'det', ('a', 'DT')), (('party', 'NN'), 'compound', ('dinner', 'NN')), (('party', 'NN'), 'acl', ('meant', 'VBN')), (('meant', 'VBN'), 'nmod', ('one', 'CD')), (('one', 'CD'), 'case', ('for', 'IN')), (('one', 'CD'), 'nmod', ('clients', 'NNS')), (('clients', 'NNS'), 'case', ('of', 'IN')), (('clients', 'NNS'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('clients', 'NNS'), 'appos', ('MrMason', 'NNP')), (('meant', 'VBN'), 'advcl', ('hoping', 'VBG')), (('hoping', 'VBG'), 'mark', ('from', 'IN')), (('hoping', 'VBG'), 'nsubj', ('Vernon', 'NNP')), (('hoping', 'VBG'), 'aux', ('is', 'VBZ')), (('hoping', 'VBG'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'dobj', ('whom', 'WP')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('order', 'NN')), (('order', 'NN'), 'det', ('a', 'DT')), (('order', 'NN'), 'amod', ('huge', 'JJ'))]"
"The only unchangeable thing on the Dursley 's schedule , however , is that Harry has to stay in Harry 's room for the night , making no noise and `` pretending Harry does n't exist '' .","['thing', 'schedule', 'Harry', 'room', 'night', 'Harry']","['thing:is', 'schedule:thing', 'Harry:has', 'room:stay', 'night:room', 'Harry:exist']",['noise'],['noise:making'],-0.2023,"[(('is', 'VBZ'), 'nsubj', ('thing', 'NN')), (('thing', 'NN'), 'det', ('The', 'DT')), (('thing', 'NN'), 'advmod', ('only', 'RB')), (('thing', 'NN'), 'amod', ('unchangeable', 'JJ')), (('thing', 'NN'), 'nmod', ('schedule', 'NN')), (('schedule', 'NN'), 'case', ('on', 'IN')), (('schedule', 'NN'), 'nmod:poss', ('Dursley', 'NNP')), (('Dursley', 'NNP'), 'det', ('the', 'DT')), (('Dursley', 'NNP'), 'case', (""'s"", 'POS')), (('is', 'VBZ'), 'advmod', ('however', 'RB')), (('is', 'VBZ'), 'ccomp', ('has', 'VBZ')), (('has', 'VBZ'), 'mark', ('that', 'IN')), (('has', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('has', 'VBZ'), 'xcomp', ('stay', 'VB')), (('stay', 'VB'), 'mark', ('to', 'TO')), (('stay', 'VB'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('room', 'NN'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('for', 'IN')), (('night', 'NN'), 'det', ('the', 'DT')), (('stay', 'VB'), 'xcomp', ('making', 'VBG')), (('making', 'VBG'), 'dobj', ('noise', 'NN')), (('noise', 'NN'), 'neg', ('no', 'DT')), (('has', 'VBZ'), 'cc', ('and', 'CC')), (('has', 'VBZ'), 'conj', ('exist', 'VB')), (('exist', 'VB'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'compound', ('pretending', 'NNP')), (('exist', 'VB'), 'aux', ('does', 'VBZ')), (('exist', 'VB'), 'neg', (""n't"", 'RB'))]"
