"paragraph","nrc_sentiment","no_of_interactions","sentence_id","joy","anticipation","surprise","trust","anger","sadness","disgust","fear","Valence","Arousal","Dominance"
" Petunia and Vernon , with Dudley , are proud to say that Petunia , Vernon and Dudley are the most normal people possible .",0.75,1," 1",0.3333333333,0.3333333333,0,0.3333333333,0,0,0,0,1.30222,-1.11222,1.00444
" Petunia , Vernon and Dudley happily occupy  Privet Drive , located in the Surrey County town of Little Whinging .",0.75,1," 2",0.5,0,0,0.5,0,0,0,0,0.71,-0.99,0.70833
" Vernon is the director of a drill company called Grunnings , while Petunia does housework and looks after Dudley , yet Petunia always spends so much time craning over garden fence to spy on the neighbours .",0.85,1," 3",0.3333333333,0.3333333333,0,0.3333333333,0,0,0,0,0.60433,-1.18667,0.536
" Despite all this , the Vernon and Petunia are the least people anyone expects to be involved in anything funny or disturbing , for they do n't hold with such nonsense in their daily lives . The story begins on a Tuesday  November ,  , where many absurd things happen .",-0.6,2," 4 5",0,1,0,0,0,0,0,0,0.7225,-0.8625,0.44556
" When all three Vernon and Petunia are gossiping happily at breakfast trying to wrestle Dudley in his high chair , none of them even notice a large tawny owl flutter pass their window .",1.3,1," 6",0.5,0,0,0,0,0,0.5,0,0.68794,-1.00382,0.24853
" It eventually comes to Vernon 's attention when Vernon is heading to work shortly afterwards , and sees Minerva reading a map and later a street sign . Vernon attempts to convince Vernon that these are merely coincidences .",0.55,2," 7 8",0,0.6666666667,0,0.3333333333,0,0,0,0,0.8175,-1.14357,0.7825
" Next , Vernon sees people in cloaks talking in hushed voices , and while Vernon is sitting in Vernon 's office , a flock of owls fly past Vernon 's window .",0,1," 9",0,0,0,0,0,0,0,0,0.82,-1.31321,0.43
" On Vernon 's break , Vernon goes to a bakery to get a bun and sees another group of extravagantly-cloaked figures .",-0.25,1," 10",0,0,1,0,0,0,0,0,0.66187,-1.07625,0.31812
" Even though they are speaking in hushed voices , Vernon eavesdrops on some of their conversation , which includes a mention of '' the Potter and Harry . ''",0,2," 11",0,0,0,0,0.5,0.5,0,0,0.74222,-1.55444,0.37778
" Vernon finds this horrifying , because James and Harry are the family of Lily . Vernon and Petunia will be embarrassed if people find out that Vernon and Petunia are related to James, Harry and Lily , as James and Lily are very strange , in Vernon and Petunia 's opinion . When Vernon leaves Vernon 's workplace at the end of the day , Vernon bumps into a very small , cloaked man , who tells Vernon that someone named `` Tom '' has been defeated , and that even Muggles like Vernon should be celebrating . Vernon does n't know what a Muggle is , but is offended that the man called Vernon one .",-0.5375,4," 12 13 14 15",0.0769230769,0.0769230769,0,0.0769230769,0.2307692308,0.3846153846,0.0769230769,0.0769230769,0.77128,-1.1436,0.4086
