<table style='border-collapse:collapse;'>
<thead><tr style='border-bottom: 1pt solid #bbb;'><th>Character Key</th><th>Character Name</th><th>Character Type</th></tr></thead><tbody>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Floo</span></td><td>Floo Powder</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Flying</span></td><td>Flying Ford Anglia</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Marvolo</span></td><td>Marvolo Gaunt</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Fawkes</span></td><td>Fawkes</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Argus</span></td><td>Argus Filch</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Godric</span></td><td>Godric Gryffindor</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Golden</span></td><td>Golden Snitch</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Severus</span></td><td>Severus Snape</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dudley</span></td><td>Dudley Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Vernon</span></td><td>Vernon Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Minerva</span></td><td>Minerva McGonagall</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Colin</span></td><td>Colin Creevey</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Quill</span></td><td>Quill</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Gilderoy</span></td><td>Gilderoy Lockhart</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Peeves</span></td><td>Peeves</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Tom</span></td><td>Tom Riddle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>MrsMason</span></td><td>Mrs Mason</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Tom</span></td><td>Tom Marvolo Riddle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>MrMason</span></td><td>Mr Mason</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Sorting</span></td><td>Sorting Hat</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hermione</span></td><td>Hermione Jean Granger</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>MrsNorris</span></td><td>Mrs Norris</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Cuthbert</span></td><td>Cuthbert Binns</td><td>Individual</td></tr>
